Período,Índice de Inflación Acumulado,Índice de Salarios
 2016  ene - mar,207.2222222222222,100.0
 2016  abr - jun,320.59444444444443,100.0
 2016  jul - sep,441.7222222222222,100.0
 2016  oct - dic,570.1555555555555,101.39999999999999
 2017  ene - mar,706.0749999999999,106.32
 2017  abr - jun,849.1916666666666,114.50333333333333
 2017  jul - sep,999.2888888888888,123.58666666666666
 2017  oct - dic,1156.0444444444443,129.42
 2018  ene - mar,1319.7805555555553,134.07
 2018  abr - jun,1491.4916666666663,141.62666666666667
 2018  jul - sep,1671.883333333333,151.13000000000002
 2018  oct - dic,1861.9444444444441,165.63000000000002
 2019  ene - mar,2061.5027777777773,180.65666666666667
 2019  abr - jun,2270.727777777777,196.01999999999998
 2019  jul - sep,2488.391666666666,215.23000000000002
 2019  oct - dic,2714.152777777777,233.56000000000003
 2020  ene - mar,2948.1555555555547,262.97
 2020  abr - jun,3192.2583333333323,272.44666666666666
 2020  jul - sep,3447.4444444444434,284.43666666666667
 2020  oct - dic,3713.8666666666654,311.4266666666667
